2,12.3631
3,25.6197
4,40.5138
5,57.0816
6,75.3913
7,95.3539
8,117.036
9,140.286
10,165.126
11,191.513
12,219.457
13,248.917
14,279.816
15,312.176
16,345.969
17,381.111
18,417.613
19,455.426
20,494.575
21,535.01
22,576.744
23,619.765
24,664.184
25,709.83
26,756.816
27,805.1
28,854.741
29,905.67
30,957.938
31,1011.47
32,1066.3
33,1122.44
34,1179.86
35,1238.51
36,1298.44
37,1359.56
38,1421.95
39,1485.54
40,1550.43
41,1616.47
42,1683.72
43,1752.11
44,1821.67
45,1892.43
46,1964.32
47,2037.36
48,2111.6
49,2186.87
50,2263.28
51,2340.76
52,2419.34
53,2499.01
54,2579.77
55,2661.57
56,2744.42
57,2828.32
58,2913.32
59,2999.27
60,3086.26
61,3174.25
62,3263.21
63,3353.17
64,3444.17
65,3536.15
66,3629.08
67,3722.99
68,3817.88
69,3913.72
70,4010.49
71,4108.15
72,4206.74
73,4306.23
74,4406.59
75,4507.94
76,4610.12
77,4713.26
78,4817.24
79,4922.15
80,5027.99
81,5134.71
82,5242.29
83,5350.8
84,5460.15
85,5570.4
86,5681.53
87,5793.48
88,5906.28
89,6019.98
90,6134.49
91,6249.81
92,6365.94
93,6482.9
94,6600.69
95,6719.25
96,6838.63
97,6958.72
98,7079.56
99,7201.13
100,7323.43
